collection_date,callsign,flag,mmsi,current_position,cord_n,cord_w,pos_recieved,speed,status,destination,ETA,reference
2021-06-03,SPWH,Poland,261082080,Baltic Sea,54.53891,18.54132,16 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=261082080
2021-06-03,CTHA,Portugal,263145000,North East Atlantic Ocean,38.67254,9.14969,3 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=263145000
2021-06-03,PAEK,Netherlands,244251000,North Sea,52.95817,4.78207,8 mns ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=244251000
2021-06-03,ADNC,United States (USA),366965000,US East Coast,37.04783,76.55003,71 days ago  ,18.0,-,-,-,https://www.vesselfinder.com/?mmsi=366965000
2021-06-03,-,United States (USA),368926023,Gulf of Mexico,30.48109,86.48632,57 days ago  ,0.2,-,-,-,https://www.vesselfinder.com/?mmsi=368926023
2021-06-03,SMLG,Sweden,265897000,Baltic Sea,56.0383,15.5642,118 days ago  ,32.0,-,-,-,https://www.vesselfinder.com/?mmsi=265897000
2021-06-03,ADNE,United States (USA),366956000,North America West Coast,34.14943,119.2098,259 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=366956000
2021-06-03,DRHO,Germany,211211520,Baltic Sea,54.06044,13.78666,1 mn ago  ,8.0,Under way,-,-,https://www.vesselfinder.com/?mmsi=211211520
2021-06-03,SPWU,Poland,261214000,Baltic Sea,54.76362,18.98409,91 days ago  ,8.3,-,-,-,https://www.vesselfinder.com/?mmsi=261214000
2021-06-03,SHBW,Sweden,265500780,North Sea,57.70681,11.66243,92 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=265500780
2021-06-03,IASP,Italy,247986000,West Mediterranean,44.09905,9.81714,30 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=247986000
2021-06-03,-,Sweden,265500350,Baltic Sea,59.71916,25.72177,44 days ago  ,4.1,-,-,-,https://www.vesselfinder.com/?mmsi=265500350
2021-06-03,CGCY,Canada,316013411,North America West Coast,48.43987,123.44786,29 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=316013411
2021-06-03,FAGR,France,227998400,Arabian Sea,11.60263,43.07884,8 mns ago  ,0.0,Under way,-,-,https://www.vesselfinder.com/?mmsi=227998400
2021-06-03,SOWH,Poland,261257000,Baltic Sea,53.90163,14.24998,3 days ago  ,0.2,-,-,-,https://www.vesselfinder.com/?mmsi=261257000
2021-06-03,CCPT,Chile,725007200,South Pacific Ocean,17.52664,149.59091,365 days ago  ,19.1,-,-,-,https://www.vesselfinder.com/?mmsi=725007200
2021-06-03,DRAA,Germany,211210150,Baltic Sea,54.8225,16.12233,1 mn ago  ,30.4,Under way,-,-,https://www.vesselfinder.com/?mmsi=211210150
2021-06-03,EBIO,Spain,225305000,West Mediterranean,37.5895,0.98054,1 hours ago  ,0.0,Under way,-,-,https://www.vesselfinder.com/?mmsi=225305000
2021-06-03,ORJT,Belgium,205662000,North Sea,51.33598,2.92672,21 hours ago  ,31.7,-,-,-,https://www.vesselfinder.com/?mmsi=205662000
2021-06-03,AAEE,United States (USA),368729000,North America West Coast,37.51897,123.09938,124 days ago  ,17.8,-,-,-,https://www.vesselfinder.com/?mmsi=368729000
2021-06-03,ORGP,Belgium,205212000,North Sea,51.33777,3.20109,4 mns ago  ,0.2,Moored,-,-,https://www.vesselfinder.com/?mmsi=205212000
2021-06-03,GAAR,United Kingdom (UK),235009860,North Sea,57.79693,2.82253,22 hours ago  ,17.8,-,-,-,https://www.vesselfinder.com/?mmsi=235009860
2021-06-03,MDDH9,United Kingdom (UK),232015672,North East Atlantic Ocean,50.3644,4.10847,302 days ago  ,0.2,-,-,-,https://www.vesselfinder.com/?mmsi=232015672
2021-06-03,YLNW,Latvia,275339000,Baltic Sea,56.51603,20.99782,13 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=275339000
